Tempo   |   E[N]          |    E[W]         | Erro_little                   |  Ocupação
30300    | 8.656525        | 1.734155        | -0.00000000118428111762        | 0.897772
30400    | 8.649517        | 1.732822        | -0.00000000153079682264        | 0.897760
30500    | 8.647318        | 1.732520        | -0.00000000140758160683        | 0.897871
30600    | 8.646787        | 1.731938        | -0.00000000143777612038        | 0.898059
30700    | 8.639104        | 1.730334        | -0.00000000126016708180        | 0.898118
30800    | 8.639382        | 1.730269        | -0.00000000102541086733        | 0.898328
30900    | 8.626805        | 1.728034        | -0.00000000115241149956        | 0.898265
31000    | 8.626022        | 1.727500        | -0.00000000126794397204        | 0.898444
31100    | 8.610020        | 1.724533        | -0.00000000121404042375        | 0.898240
31200    | 8.614199        | 1.724885        | -0.00000000135549882430        | 0.898392
31300    | 8.615204        | 1.725069        | -0.00000000127338317668        | 0.898326
31400    | 8.611568        | 1.724466        | -0.00000000077656281405        | 0.898271
31500    | 8.620954        | 1.726603        | -0.00000000076762241008        | 0.898249
31600    | 8.614417        | 1.725450        | -0.00000000083770856918        | 0.898131
31700    | 8.613959        | 1.725513        | -0.00000000089933038794        | 0.898290
31800    | 8.616453        | 1.726037        | -0.00000000092143359609        | 0.898488
31900    | 8.612406        | 1.725315        | -0.00000000092975582788        | 0.898620
32000    | 8.609810        | 1.725154        | -0.00000000121482024440        | 0.898403
32100    | 8.592869        | 1.722179        | -0.00000000129853816588        | 0.898162
32200    | 8.601553        | 1.723469        | -0.00000000131649358082        | 0.898300
32300    | 8.589268        | 1.721371        | -0.00000000145330147916        | 0.898122
32400    | 8.577119        | 1.719383        | -0.00000000145181644484        | 0.897864
32500    | 8.570549        | 1.718032        | -0.00000000148517820264        | 0.897794
32600    | 8.591467        | 1.722001        | -0.00000000138028077856        | 0.897956
32700    | 8.582000        | 1.720430        | -0.00000000140676981175        | 0.897983
32800    | 8.566378        | 1.717832        | -0.00000000131681865412        | 0.897685
32900    | 8.573943        | 1.719356        | -0.00000000135286626346        | 0.897803
33000    | 8.569137        | 1.718326        | -0.00000000169755232093        | 0.897815
33100    | 8.563516        | 1.717248        | -0.00000000175217529375        | 0.897875
33200    | 8.566168        | 1.717859        | -0.00000000159333168881        | 0.897896
33300    | 8.557603        | 1.716324        | -0.00000000154452806100        | 0.897876
33400    | 8.556423        | 1.716125        | -0.00000000133546684822        | 0.898020
33500    | 8.539017        | 1.713060        | -0.00000000116770060288        | 0.897680
33600    | 8.536174        | 1.712607        | -0.00000000125981891586        | 0.897776
33700    | 8.531673        | 1.711698        | -0.00000000121582743873        | 0.897693
33800    | 8.528228        | 1.711235        | -0.00000000116065201894        | 0.897587
33900    | 8.511736        | 1.708041        | -0.00000000125212551438        | 0.897228
34000    | 8.507058        | 1.707035        | -0.00000000129128352455        | 0.897279
34100    | 8.505441        | 1.706804        | -0.00000000131595534469        | 0.897217
34200    | 8.493604        | 1.704122        | -0.00000000117395693167        | 0.897191
34300    | 8.554110        | 1.715905        | -0.00000000123078791603        | 0.897491
34400    | 8.541338        | 1.713298        | -0.00000000134582833766        | 0.897376
34500    | 8.533371        | 1.711815        | -0.00000000118781073866        | 0.897387
34600    | 8.521492        | 1.709605        | -0.00000000103943698093        | 0.897197
34700    | 8.510382        | 1.707519        | -0.00000000098064312226        | 0.897139
34800    | 8.513581        | 1.708224        | -0.00000000094917496085        | 0.897209
34900    | 8.509653        | 1.707331        | -0.00000000096104635361        | 0.897201
35000    | 8.506974        | 1.706955        | -0.00000000084211571050        | 0.897147
35100    | 8.501055        | 1.705966        | -0.00000000085930729199        | 0.897083
35200    | 8.507325        | 1.706906        | -0.00000000078782846913        | 0.897111
35300    | 8.494158        | 1.704316        | -0.00000000071732131346        | 0.896917
35400    | 8.484662        | 1.702492        | -0.00000000073982420190        | 0.896881
35500    | 8.493067        | 1.704124        | -0.00000000062861538197        | 0.896977
35600    | 8.479346        | 1.701787        | -0.00000000056831872541        | 0.896665
35700    | 8.473760        | 1.700783        | -0.00000000067406702442        | 0.896589
35800    | 8.463847        | 1.698901        | -0.00000000044715164904        | 0.896557
35900    | 8.453510        | 1.697065        | -0.00000000034044944641        | 0.896473
36000    | 8.451541        | 1.696822        | -0.00000000009532286072        | 0.896385
